,District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer
154,Kolhapur,Red ,150,40,50,6.0,800,25,Cotton,DAP
156,Kolhapur,Red ,105,45,55,6.5,900,30,Cotton,DAP
159,Kolhapur,Red ,120,45,55,6.5,900,30,Cotton,DAP
161,Kolhapur,Red ,130,45,55,6.5,900,30,Cotton,DAP
171,Kolhapur,Red ,125,50,60,7.0,1000,35,Cotton,DAP
176,Kolhapur,Red ,150,50,60,7.0,1000,35,Cotton,DAP
180,Kolhapur,Red ,115,55,65,7.5,800,25,Cotton,DAP
181,Kolhapur,Red ,120,55,65,7.5,800,25,Cotton,DAP
184,Kolhapur,Red ,135,55,65,7.5,800,25,Cotton,DAP
186,Kolhapur,Red ,145,55,65,7.5,800,25,Cotton,DAP
187,Kolhapur,Red ,150,55,65,7.5,800,25,Cotton,DAP
189,Kolhapur,Red ,105,60,70,6.0,900,30,Cotton,DAP
191,Kolhapur,Red ,115,60,70,6.0,900,30,Cotton,DAP
195,Kolhapur,Red ,135,60,70,6.0,900,30,Cotton,DAP
196,Kolhapur,Red ,140,60,70,6.0,900,30,Cotton,DAP
198,Kolhapur,Red ,150,60,70,6.0,900,30,Cotton,DAP
200,Kolhapur,Red ,105,40,75,6.5,1000,35,Cotton,DAP
203,Kolhapur,Red ,120,40,75,6.5,1000,35,Cotton,DAP
204,Kolhapur,Red ,125,40,75,6.5,1000,35,Cotton,DAP
205,Kolhapur,Red ,130,40,75,6.5,1000,35,Cotton,DAP
206,Kolhapur,Red ,135,40,75,6.5,1000,35,Cotton,DAP
209,Kolhapur,Red ,150,40,75,6.5,1000,35,Cotton,DAP
214,Kolhapur,Red ,120,45,50,6.0,800,25,Cotton,Magnesium Sulphate
216,Kolhapur,Red ,130,45,50,6.0,800,25,Cotton,Magnesium Sulphate
219,Kolhapur,Red ,145,45,50,6.0,800,25,Cotton,Magnesium Sulphate
222,Kolhapur,Red ,105,50,55,6.5,900,30,Cotton,Magnesium Sulphate
223,Kolhapur,Red ,110,50,55,6.5,900,30,Cotton,Magnesium Sulphate
224,Kolhapur,Red ,115,50,55,6.5,900,30,Cotton,Magnesium Sulphate
226,Kolhapur,Red ,125,50,55,6.5,900,30,Cotton,Magnesium Sulphate
229,Kolhapur,Red ,140,50,55,6.5,900,30,Cotton,Magnesium Sulphate
230,Kolhapur,Red ,145,50,55,6.5,900,30,Cotton,Magnesium Sulphate
232,Kolhapur,Red ,100,55,60,7.0,1000,35,Cotton,Magnesium Sulphate
233,Kolhapur,Red ,105,55,60,7.0,1000,35,Cotton,Magnesium Sulphate
234,Kolhapur,Red ,110,55,60,7.0,1000,35,Cotton,Magnesium Sulphate
237,Kolhapur,Red ,125,55,60,7.0,1000,35,Cotton,Magnesium Sulphate
241,Kolhapur,Red ,145,55,60,7.0,1000,35,Cotton,Magnesium Sulphate
243,Kolhapur,Red ,100,60,65,7.5,800,25,Cotton,Magnesium Sulphate
244,Kolhapur,Red ,105,60,65,7.5,800,25,Cotton,Magnesium Sulphate
245,Kolhapur,Red ,110,60,65,7.5,800,25,Cotton,Magnesium Sulphate
246,Kolhapur,Red ,115,60,65,7.5,800,25,Cotton,Magnesium Sulphate
248,Kolhapur,Red ,125,60,65,7.5,800,25,Cotton,Magnesium Sulphate
249,Kolhapur,Red ,130,60,65,7.5,800,25,Cotton,Magnesium Sulphate
253,Kolhapur,Red ,150,60,65,7.5,800,25,Cotton,Magnesium Sulphate
255,Kolhapur,Red ,105,40,70,6.0,900,30,Cotton,Magnesium Sulphate
256,Kolhapur,Red ,110,40,70,6.0,900,30,Cotton,Magnesium Sulphate
258,Kolhapur,Red ,120,40,70,6.0,900,30,Cotton,Magnesium Sulphate
260,Kolhapur,Red ,130,40,70,6.0,900,30,Cotton,Magnesium Sulphate
261,Kolhapur,Red ,135,40,70,6.0,900,30,Cotton,Magnesium Sulphate
263,Kolhapur,Red ,145,40,70,6.0,900,30,Cotton,Magnesium Sulphate
265,Kolhapur,Red ,100,45,75,6.5,1000,35,Cotton,Magnesium Sulphate
268,Kolhapur,Red ,115,45,75,6.5,1000,35,Cotton,Magnesium Sulphate
270,Kolhapur,Red ,125,45,75,6.5,1000,35,Cotton,Magnesium Sulphate
272,Kolhapur,Red ,135,45,75,6.5,1000,35,Cotton,Magnesium Sulphate
275,Kolhapur,Red ,150,45,75,6.5,1000,35,Cotton,Magnesium Sulphate
276,Kolhapur,Red ,100,50,50,7.0,800,25,Cotton,13:32:26 NPK
280,Kolhapur,Red ,120,50,50,7.0,800,25,Cotton,13:32:26 NPK
282,Kolhapur,Red ,130,50,50,7.0,800,25,Cotton,13:32:26 NPK
283,Kolhapur,Red ,135,50,50,7.0,800,25,Cotton,13:32:26 NPK
284,Kolhapur,Red ,140,50,50,7.0,800,25,Cotton,13:32:26 NPK
288,Kolhapur,Red ,105,55,55,7.5,900,30,Cotton,13:32:26 NPK
289,Kolhapur,Red ,110,55,55,7.5,900,30,Cotton,13:32:26 NPK
293,Kolhapur,Red ,130,55,55,7.5,900,30,Cotton,13:32:26 NPK
294,Kolhapur,Red ,135,55,55,7.5,900,30,Cotton,13:32:26 NPK
296,Kolhapur,Red ,145,55,55,7.5,900,30,Cotton,13:32:26 NPK
299,Kolhapur,Red ,105,60,60,6.0,1000,35,Cotton,13:32:26 NPK
301,Kolhapur,Red ,115,60,60,6.0,1000,35,Cotton,13:32:26 NPK
302,Kolhapur,Red ,120,60,60,6.0,1000,35,Cotton,13:32:26 NPK
303,Kolhapur,Red ,125,60,60,6.0,1000,35,Cotton,13:32:26 NPK
304,Kolhapur,Red ,130,60,60,6.0,1000,35,Cotton,13:32:26 NPK
307,Kolhapur,Red ,145,60,60,6.0,1000,35,Cotton,13:32:26 NPK
311,Kolhapur,Red ,110,40,65,6.5,800,25,Cotton,13:32:26 NPK
313,Kolhapur,Red ,120,40,65,6.5,800,25,Cotton,13:32:26 NPK
314,Kolhapur,Red ,125,40,65,6.5,800,25,Cotton,13:32:26 NPK
315,Kolhapur,Red ,130,40,65,6.5,800,25,Cotton,13:32:26 NPK
316,Kolhapur,Red ,135,40,65,6.5,800,25,Cotton,13:32:26 NPK
319,Kolhapur,Red ,150,40,65,6.5,800,25,Cotton,13:32:26 NPK
321,Kolhapur,Red ,105,45,70,7.0,900,30,Cotton,13:32:26 NPK
322,Kolhapur,Red ,110,45,70,7.0,900,30,Cotton,13:32:26 NPK
324,Kolhapur,Red ,120,45,70,7.0,900,30,Cotton,13:32:26 NPK
325,Kolhapur,Red ,125,45,70,7.0,900,30,Cotton,13:32:26 NPK
327,Kolhapur,Red ,135,45,70,7.0,900,30,Cotton,13:32:26 NPK
328,Kolhapur,Red ,140,45,70,7.0,900,30,Cotton,13:32:26 NPK
329,Kolhapur,Red ,145,45,70,7.0,900,30,Cotton,13:32:26 NPK
331,Kolhapur,Red ,100,50,75,7.5,1000,35,Cotton,13:32:26 NPK
332,Kolhapur,Red ,105,50,75,7.5,1000,35,Cotton,13:32:26 NPK
333,Kolhapur,Red ,110,50,75,7.5,1000,35,Cotton,13:32:26 NPK
334,Kolhapur,Red ,115,50,75,7.5,1000,35,Cotton,13:32:26 NPK
338,Kolhapur,Red ,135,50,75,7.5,1000,35,Cotton,13:32:26 NPK
341,Kolhapur,Red ,150,50,75,7.5,1000,35,Cotton,13:32:26 NPK
342,Kolhapur,Red ,100,55,50,6.0,800,25,Cotton,DAP
344,Kolhapur,Red ,110,55,50,6.0,800,25,Cotton,DAP
345,Kolhapur,Red ,115,55,50,6.0,800,25,Cotton,DAP
346,Kolhapur,Red ,120,55,50,6.0,800,25,Cotton,DAP
347,Kolhapur,Red ,125,55,50,6.0,800,25,Cotton,DAP
349,Kolhapur,Red ,135,55,50,6.0,800,25,Cotton,DAP
353,Kolhapur,Red ,100,60,55,6.5,900,30,Cotton,DAP
354,Kolhapur,Red ,105,60,55,6.5,900,30,Cotton,DAP
355,Kolhapur,Red ,110,60,55,6.5,900,30,Cotton,DAP
356,Kolhapur,Red ,115,60,55,6.5,900,30,Cotton,DAP
358,Kolhapur,Red ,125,60,55,6.5,900,30,Cotton,DAP
359,Kolhapur,Red ,130,60,55,6.5,900,30,Cotton,DAP
360,Kolhapur,Red ,135,60,55,6.5,900,30,Cotton,DAP
361,Kolhapur,Red ,140,60,55,6.5,900,30,Cotton,DAP
363,Kolhapur,Red ,150,60,55,6.5,900,30,Cotton,DAP
368,Kolhapur,Red ,120,40,60,7.0,1000,35,Cotton,DAP
369,Kolhapur,Red ,125,40,60,7.0,1000,35,Cotton,DAP
371,Kolhapur,Red ,135,40,60,7.0,1000,35,Cotton,DAP
372,Kolhapur,Red ,140,40,60,7.0,1000,35,Cotton,DAP
374,Kolhapur,Red ,150,40,60,7.0,1000,35,Cotton,DAP
376,Kolhapur,Red ,105,45,65,7.5,800,25,Cotton,DAP
381,Kolhapur,Red ,130,45,65,7.5,800,25,Cotton,DAP
385,Kolhapur,Red ,150,45,65,7.5,800,25,Cotton,DAP
387,Kolhapur,Red ,105,50,70,6.0,900,30,Cotton,DAP
388,Kolhapur,Red ,110,50,70,6.0,900,30,Cotton,DAP
389,Kolhapur,Red ,115,50,70,6.0,900,30,Cotton,DAP
390,Kolhapur,Red ,120,50,70,6.0,900,30,Cotton,DAP
391,Kolhapur,Red ,125,50,70,6.0,900,30,Cotton,DAP
394,Kolhapur,Red ,140,50,70,6.0,900,30,Cotton,DAP
395,Kolhapur,Red ,145,50,70,6.0,900,30,Cotton,DAP
401,Kolhapur,Red ,120,55,75,6.5,1000,35,Cotton,DAP
402,Kolhapur,Red ,125,55,75,6.5,1000,35,Cotton,DAP
403,Kolhapur,Red ,130,55,75,6.5,1000,35,Cotton,DAP
408,Kolhapur,Red ,100,60,50,7.0,800,25,Cotton,Magnesium Sulphate
411,Kolhapur,Red ,115,60,50,7.0,800,25,Cotton,Magnesium Sulphate
412,Kolhapur,Red ,120,60,50,7.0,800,25,Cotton,Magnesium Sulphate
415,Kolhapur,Red ,135,60,50,7.0,800,25,Cotton,Magnesium Sulphate
426,Kolhapur,Red ,135,40,55,7.5,900,30,Cotton,Magnesium Sulphate
427,Kolhapur,Red ,140,40,55,7.5,900,30,Cotton,Magnesium Sulphate
430,Kolhapur,Red ,100,45,60,6.0,1000,35,Cotton,Magnesium Sulphate
432,Kolhapur,Red ,110,45,60,6.0,1000,35,Cotton,Magnesium Sulphate
433,Kolhapur,Red ,115,45,60,6.0,1000,35,Cotton,Magnesium Sulphate
437,Kolhapur,Red ,135,45,60,6.0,1000,35,Cotton,Magnesium Sulphate
442,Kolhapur,Red ,105,50,65,6.5,800,25,Cotton,Magnesium Sulphate
443,Kolhapur,Red ,110,50,65,6.5,800,25,Cotton,Magnesium Sulphate
449,Kolhapur,Red ,140,50,65,6.5,800,25,Cotton,Magnesium Sulphate
450,Kolhapur,Red ,145,50,65,6.5,800,25,Cotton,Magnesium Sulphate
451,Kolhapur,Red ,150,50,65,6.5,800,25,Cotton,Magnesium Sulphate
452,Kolhapur,Red ,100,55,70,7.0,900,30,Cotton,Magnesium Sulphate
454,Kolhapur,Red ,110,55,70,7.0,900,30,Cotton,Magnesium Sulphate
456,Kolhapur,Red ,120,55,70,7.0,900,30,Cotton,Magnesium Sulphate
457,Kolhapur,Red ,125,55,70,7.0,900,30,Cotton,Magnesium Sulphate
458,Kolhapur,Red ,130,55,70,7.0,900,30,Cotton,Magnesium Sulphate
459,Kolhapur,Red ,135,55,70,7.0,900,30,Cotton,Magnesium Sulphate
460,Kolhapur,Red ,140,55,70,7.0,900,30,Cotton,Magnesium Sulphate
461,Kolhapur,Red ,145,55,70,7.0,900,30,Cotton,Magnesium Sulphate
464,Kolhapur,Red ,105,60,75,7.5,1000,35,Cotton,Magnesium Sulphate
468,Kolhapur,Red ,125,60,75,7.5,1000,35,Cotton,Magnesium Sulphate
469,Kolhapur,Red ,130,60,75,7.5,1000,35,Cotton,Magnesium Sulphate
471,Kolhapur,Red ,140,60,75,7.5,1000,35,Cotton,Magnesium Sulphate
472,Kolhapur,Red ,145,60,75,7.5,1000,35,Cotton,Magnesium Sulphate
473,Kolhapur,Red ,150,60,75,7.5,1000,35,Cotton,Magnesium Sulphate
474,Kolhapur,Red ,100,60,40,6.0,800,25,Cotton,12:32:16 NPK
476,Kolhapur,Red ,110,60,40,6.0,800,25,Cotton,12:32:16 NPK
477,Kolhapur,Red ,115,60,40,6.0,800,25,Cotton,12:32:16 NPK
479,Kolhapur,Red ,100,65,45,6.5,900,30,Cotton,12:32:16 NPK
480,Kolhapur,Red ,105,65,45,6.5,900,30,Cotton,12:32:16 NPK
482,Kolhapur,Red ,115,65,45,6.5,900,30,Cotton,12:32:16 NPK
483,Kolhapur,Red ,120,65,45,6.5,900,30,Cotton,12:32:16 NPK
485,Kolhapur,Red ,105,70,50,7.0,1000,35,Cotton,12:32:16 NPK
487,Kolhapur,Red ,115,70,50,7.0,1000,35,Cotton,12:32:16 NPK
491,Kolhapur,Red ,110,75,55,7.5,800,25,Cotton,12:32:16 NPK
493,Kolhapur,Red ,120,75,55,7.5,800,25,Cotton,12:32:16 NPK
495,Kolhapur,Red ,105,80,60,6.0,900,30,Cotton,12:32:16 NPK
496,Kolhapur,Red ,110,80,60,6.0,900,30,Cotton,12:32:16 NPK
500,Kolhapur,Red ,105,60,65,6.5,1000,35,Cotton,12:32:16 NPK
501,Kolhapur,Red ,110,60,65,6.5,1000,35,Cotton,12:32:16 NPK
505,Kolhapur,Red ,105,65,40,7.0,800,25,Cotton,12:32:16 NPK
507,Kolhapur,Red ,115,65,40,7.0,800,25,Cotton,12:32:16 NPK
509,Kolhapur,Red ,100,70,45,7.5,900,30,Cotton,12:32:16 NPK
510,Kolhapur,Red ,105,70,45,7.5,900,30,Cotton,12:32:16 NPK
514,Kolhapur,Red ,100,75,50,6.0,1000,35,Cotton,12:32:16 NPK
515,Kolhapur,Red ,105,75,50,6.0,1000,35,Cotton,12:32:16 NPK
516,Kolhapur,Red ,110,75,50,6.0,1000,35,Cotton,12:32:16 NPK
517,Kolhapur,Red ,115,75,50,6.0,1000,35,Cotton,12:32:16 NPK
519,Kolhapur,Red ,100,80,55,6.5,800,25,Cotton,12:32:16 NPK
522,Kolhapur,Red ,115,80,55,6.5,800,25,Cotton,12:32:16 NPK
523,Kolhapur,Red ,120,80,55,6.5,800,25,Cotton,12:32:16 NPK
525,Kolhapur,Red ,105,60,60,7.0,900,30,Cotton,12:32:16 NPK
526,Kolhapur,Red ,110,60,60,7.0,900,30,Cotton,12:32:16 NPK
527,Kolhapur,Red ,115,60,60,7.0,900,30,Cotton,12:32:16 NPK
531,Kolhapur,Red ,110,65,65,7.5,1000,35,Cotton,12:32:16 NPK
532,Kolhapur,Red ,115,65,65,7.5,1000,35,Cotton,12:32:16 NPK
536,Kolhapur,Red ,110,70,40,6.0,800,25,Cotton,12:32:16 NPK
541,Kolhapur,Red ,110,75,45,6.5,900,30,Cotton,DAP
542,Kolhapur,Red ,115,75,45,6.5,900,30,Cotton,DAP
544,Kolhapur,Red ,100,80,50,7.0,1000,35,Cotton,DAP
545,Kolhapur,Red ,105,80,50,7.0,1000,35,Cotton,DAP
546,Kolhapur,Red ,110,80,50,7.0,1000,35,Cotton,DAP
548,Kolhapur,Red ,120,80,50,7.0,1000,35,Cotton,DAP
549,Kolhapur,Red ,100,60,55,7.5,800,25,Cotton,DAP
550,Kolhapur,Red ,105,60,55,7.5,800,25,Cotton,DAP
553,Kolhapur,Red ,120,60,55,7.5,800,25,Cotton,DAP
556,Kolhapur,Red ,110,65,60,6.0,900,30,Cotton,DAP
557,Kolhapur,Red ,115,65,60,6.0,900,30,Cotton,DAP
562,Kolhapur,Red ,115,70,65,6.5,1000,35,Cotton,DAP
563,Kolhapur,Red ,120,70,65,6.5,1000,35,Cotton,DAP
566,Kolhapur,Red ,110,75,40,7.0,800,25,Cotton,DAP
567,Kolhapur,Red ,115,75,40,7.0,800,25,Cotton,DAP
568,Kolhapur,Red ,120,75,40,7.0,800,25,Cotton,DAP
569,Kolhapur,Red ,100,80,45,7.5,900,30,Cotton,DAP
573,Kolhapur,Red ,120,80,45,7.5,900,30,Cotton,DAP
575,Kolhapur,Red ,105,60,50,6.0,1000,35,Cotton,DAP
576,Kolhapur,Red ,110,60,50,6.0,1000,35,Cotton,DAP
577,Kolhapur,Red ,115,60,50,6.0,1000,35,Cotton,DAP
580,Kolhapur,Red ,105,65,55,6.5,800,25,Cotton,DAP
581,Kolhapur,Red ,110,65,55,6.5,800,25,Cotton,DAP
585,Kolhapur,Red ,105,70,60,7.0,900,30,Cotton,DAP
586,Kolhapur,Red ,110,70,60,7.0,900,30,Cotton,DAP
587,Kolhapur,Red ,115,70,60,7.0,900,30,Cotton,DAP
595,Kolhapur,Red ,105,80,40,6.0,800,25,Cotton,DAP
599,Kolhapur,Red ,100,60,45,6.5,900,30,Cotton,DAP
601,Kolhapur,Red ,110,60,45,6.5,900,30,Cotton,DAP
605,Kolhapur,Red ,105,65,50,7.0,1000,35,Cotton,DAP
606,Kolhapur,Red ,110,65,50,7.0,1000,35,Cotton,Magnesium Sulphate
608,Kolhapur,Red ,120,65,50,7.0,1000,35,Cotton,Magnesium Sulphate
614,Kolhapur,Red ,100,75,60,6.0,900,30,Cotton,Magnesium Sulphate
616,Kolhapur,Red ,110,75,60,6.0,900,30,Cotton,Magnesium Sulphate
617,Kolhapur,Red ,115,75,60,6.0,900,30,Cotton,Magnesium Sulphate
623,Kolhapur,Red ,120,80,65,6.5,1000,35,Cotton,Magnesium Sulphate
625,Kolhapur,Medium Brown,25,15,20,5.5,700,25,Rice,Urea
626,Kolhapur,Medium Brown,30,15,20,5.5,700,25,Rice,Urea
628,Kolhapur,Medium Brown,25,20,25,6.0,800,30,Rice,Urea
629,Kolhapur,Medium Brown,30,20,25,6.0,800,30,Rice,Urea
633,Kolhapur,Medium Brown,20,20,20,5.5,1000,30,Rice,Urea
634,Kolhapur,Medium Brown,25,20,20,5.5,1000,30,Rice,Urea
635,Kolhapur,Medium Brown,30,20,20,5.5,1000,30,Rice,Urea
636,Kolhapur,Medium Brown,25,20,30,6.0,700,25,Rice,Urea
638,Kolhapur,Medium Brown,35,20,30,6.0,700,25,Rice,Urea
639,Kolhapur,Medium Brown,25,25,35,6.5,800,30,Rice,Urea
642,Kolhapur,Medium Brown,25,30,40,5.5,900,25,Rice,Urea
643,Kolhapur,Medium Brown,30,30,40,5.5,900,25,Rice,Urea
644,Kolhapur,Medium Brown,35,30,40,5.5,900,25,Rice,50:26:26 NPK
645,Kolhapur,Medium Brown,25,20,35,6.0,1000,30,Rice,50:26:26 NPK
646,Kolhapur,Medium Brown,30,20,35,6.0,1000,30,Rice,50:26:26 NPK
647,Kolhapur,Medium Brown,35,20,35,6.0,1000,30,Rice,50:26:26 NPK
651,Kolhapur,Medium Brown,25,30,30,5.5,800,30,Rice,50:26:26 NPK
653,Kolhapur,Medium Brown,35,30,30,5.5,800,30,Rice,50:26:26 NPK
654,Kolhapur,Medium Brown,25,20,40,6.0,900,25,Rice,50:26:26 NPK
656,Kolhapur,Medium Brown,35,20,40,6.0,900,25,Rice,50:26:26 NPK
658,Kolhapur,Medium Brown,30,25,30,6.5,1000,30,Rice,50:26:26 NPK
660,Kolhapur,Medium Brown,25,30,35,5.5,700,25,Rice,50:26:26 NPK
662,Kolhapur,Medium Brown,35,30,35,5.5,700,25,Rice,50:26:26 NPK
665,Kolhapur,Dark Brown,110,60,40,6.0,500,15,Wheat,19:19:19 NPK
666,Kolhapur,Dark Brown,115,60,40,6.0,500,15,Wheat,19:19:19 NPK
667,Kolhapur,Dark Brown,120,60,40,6.0,500,15,Wheat,19:19:19 NPK
669,Kolhapur,Dark Brown,105,65,45,6.5,600,20,Wheat,19:19:19 NPK
673,Kolhapur,Dark Brown,100,70,50,7.0,700,25,Wheat,19:19:19 NPK
678,Kolhapur,Dark Brown,100,75,55,7.5,800,15,Wheat,19:19:19 NPK
679,Kolhapur,Dark Brown,105,75,55,7.5,800,15,Wheat,19:19:19 NPK
680,Kolhapur,Dark Brown,110,75,55,7.5,800,15,Wheat,19:19:19 NPK
683,Kolhapur,Dark Brown,100,80,60,6.0,900,20,Wheat,19:19:19 NPK
685,Kolhapur,Dark Brown,110,80,60,6.0,900,20,Wheat,19:19:19 NPK
686,Kolhapur,Dark Brown,115,80,60,6.0,900,20,Wheat,19:19:19 NPK
688,Kolhapur,Dark Brown,100,60,45,6.5,1000,25,Wheat,Urea
689,Kolhapur,Dark Brown,105,60,45,6.5,1000,25,Wheat,Urea
690,Kolhapur,Dark Brown,110,60,45,6.5,1000,25,Wheat,Urea
691,Kolhapur,Dark Brown,115,60,45,6.5,1000,25,Wheat,Urea
692,Kolhapur,Dark Brown,120,60,45,6.5,1000,25,Wheat,Urea
695,Kolhapur,Dark Brown,110,65,50,7.0,500,15,Wheat,Urea
698,Kolhapur,Dark Brown,100,70,55,7.5,600,20,Wheat,Urea
699,Kolhapur,Dark Brown,105,70,55,7.5,600,20,Wheat,Urea
700,Kolhapur,Dark Brown,110,70,55,7.5,600,20,Wheat,Urea
701,Kolhapur,Dark Brown,115,70,55,7.5,600,20,Wheat,Urea
705,Kolhapur,Dark Brown,110,75,60,6.0,700,25,Wheat,Urea
706,Kolhapur,Dark Brown,115,75,60,6.0,700,25,Wheat,Urea
