,Unnamed: 0,District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop_Fertilizer
46,82,Kolhapur,Black,20,35,35,7.5,800,25,"Jowar, 10:26:26 NPK"
47,83,Kolhapur,Black,25,35,35,7.5,800,25,"Jowar, 10:26:26 NPK"
48,85,Kolhapur,Black,35,35,35,7.5,800,25,"Jowar, 10:26:26 NPK"
49,87,Kolhapur,Black,20,25,40,6.5,600,30,"Jowar, 10:26:26 NPK"
50,88,Kolhapur,Black,25,25,40,6.5,600,30,"Jowar, 10:26:26 NPK"
51,91,Kolhapur,Black,40,25,40,6.5,600,30,"Jowar, 10:26:26 NPK"
52,96,Kolhapur,Black,40,30,25,7.0,700,25,"Jowar, Urea"
53,97,Kolhapur,Black,20,35,30,7.5,800,30,"Jowar, Urea"
54,102,Kolhapur,Black,20,25,35,6.5,600,25,"Jowar, Urea"
55,103,Kolhapur,Black,25,25,35,6.5,600,25,"Jowar, Urea"
56,104,Kolhapur,Black,30,25,35,6.5,600,25,"Jowar, Urea"
57,106,Kolhapur,Black,40,25,35,6.5,600,25,"Jowar, Urea"
58,108,Kolhapur,Black,25,30,40,7.0,700,30,"Jowar, Urea"
59,109,Kolhapur,Black,30,30,40,7.0,700,30,"Jowar, Urea"
60,110,Kolhapur,Black,35,30,40,7.0,700,30,"Jowar, Urea"
61,116,Kolhapur,Black,40,35,25,7.5,800,25,"Jowar, SSP"
62,118,Kolhapur,Black,25,25,30,6.5,600,30,"Jowar, SSP"
63,120,Kolhapur,Black,35,25,30,6.5,600,30,"Jowar, SSP"
64,123,Kolhapur,Black,25,30,35,7.0,700,25,"Jowar, SSP"
65,124,Kolhapur,Black,30,30,35,7.0,700,25,"Jowar, SSP"
66,126,Kolhapur,Black,40,30,35,7.0,700,25,"Jowar, SSP"
67,127,Kolhapur,Black,20,35,40,7.5,800,30,"Jowar, SSP"
68,128,Kolhapur,Black,25,35,40,7.5,800,30,"Jowar, SSP"
69,130,Kolhapur,Black,35,35,40,7.5,800,30,"Jowar, SSP"
70,131,Kolhapur,Black,40,35,40,7.5,800,30,"Jowar, SSP"
71,134,Kolhapur,Black,50,20,20,6.0,600,25,"Jowar, 10:26:26 NPK"
72,136,Kolhapur,Black,45,25,25,6.5,700,30,"Jowar, 10:26:26 NPK"
73,137,Kolhapur,Black,50,25,25,6.5,700,30,"Jowar, 10:26:26 NPK"
74,138,Kolhapur,Black,40,20,25,7.0,800,25,"Jowar, 10:26:26 NPK"
75,141,Kolhapur,Black,40,25,20,7.5,600,30,"Jowar, 10:26:26 NPK"
76,142,Kolhapur,Black,45,25,20,7.5,600,30,"Jowar, 10:26:26 NPK"
77,143,Kolhapur,Black,50,25,20,7.5,600,30,"Jowar, 10:26:26 NPK"
78,144,Kolhapur,Red ,100,40,50,6.0,800,25,"Cotton, DAP"
79,146,Kolhapur,Red ,110,40,50,6.0,800,25,"Cotton, DAP"
80,148,Kolhapur,Red ,120,40,50,6.0,800,25,"Cotton, DAP"
81,150,Kolhapur,Red ,130,40,50,6.0,800,25,"Cotton, DAP"
82,151,Kolhapur,Red ,135,40,50,6.0,800,25,"Cotton, DAP"
83,154,Kolhapur,Red ,150,40,50,6.0,800,25,"Cotton, DAP"
84,156,Kolhapur,Red ,105,45,55,6.5,900,30,"Cotton, DAP"
85,159,Kolhapur,Red ,120,45,55,6.5,900,30,"Cotton, DAP"
86,161,Kolhapur,Red ,130,45,55,6.5,900,30,"Cotton, DAP"
87,171,Kolhapur,Red ,125,50,60,7.0,1000,35,"Cotton, DAP"
88,176,Kolhapur,Red ,150,50,60,7.0,1000,35,"Cotton, DAP"
89,180,Kolhapur,Red ,115,55,65,7.5,800,25,"Cotton, DAP"
90,181,Kolhapur,Red ,120,55,65,7.5,800,25,"Cotton, DAP"
91,184,Kolhapur,Red ,135,55,65,7.5,800,25,"Cotton, DAP"
92,186,Kolhapur,Red ,145,55,65,7.5,800,25,"Cotton, DAP"
93,187,Kolhapur,Red ,150,55,65,7.5,800,25,"Cotton, DAP"
94,189,Kolhapur,Red ,105,60,70,6.0,900,30,"Cotton, DAP"
95,191,Kolhapur,Red ,115,60,70,6.0,900,30,"Cotton, DAP"
96,195,Kolhapur,Red ,135,60,70,6.0,900,30,"Cotton, DAP"
97,196,Kolhapur,Red ,140,60,70,6.0,900,30,"Cotton, DAP"
98,198,Kolhapur,Red ,150,60,70,6.0,900,30,"Cotton, DAP"
99,200,Kolhapur,Red ,105,40,75,6.5,1000,35,"Cotton, DAP"
100,203,Kolhapur,Red ,120,40,75,6.5,1000,35,"Cotton, DAP"
101,204,Kolhapur,Red ,125,40,75,6.5,1000,35,"Cotton, DAP"
102,205,Kolhapur,Red ,130,40,75,6.5,1000,35,"Cotton, DAP"
103,206,Kolhapur,Red ,135,40,75,6.5,1000,35,"Cotton, DAP"
104,209,Kolhapur,Red ,150,40,75,6.5,1000,35,"Cotton, DAP"
105,214,Kolhapur,Red ,120,45,50,6.0,800,25,"Cotton, Magnesium Sulphate"
106,216,Kolhapur,Red ,130,45,50,6.0,800,25,"Cotton, Magnesium Sulphate"
107,219,Kolhapur,Red ,145,45,50,6.0,800,25,"Cotton, Magnesium Sulphate"
108,222,Kolhapur,Red ,105,50,55,6.5,900,30,"Cotton, Magnesium Sulphate"
109,223,Kolhapur,Red ,110,50,55,6.5,900,30,"Cotton, Magnesium Sulphate"
110,224,Kolhapur,Red ,115,50,55,6.5,900,30,"Cotton, Magnesium Sulphate"
111,226,Kolhapur,Red ,125,50,55,6.5,900,30,"Cotton, Magnesium Sulphate"
112,229,Kolhapur,Red ,140,50,55,6.5,900,30,"Cotton, Magnesium Sulphate"
113,230,Kolhapur,Red ,145,50,55,6.5,900,30,"Cotton, Magnesium Sulphate"
114,232,Kolhapur,Red ,100,55,60,7.0,1000,35,"Cotton, Magnesium Sulphate"
115,233,Kolhapur,Red ,105,55,60,7.0,1000,35,"Cotton, Magnesium Sulphate"
116,234,Kolhapur,Red ,110,55,60,7.0,1000,35,"Cotton, Magnesium Sulphate"
117,237,Kolhapur,Red ,125,55,60,7.0,1000,35,"Cotton, Magnesium Sulphate"
118,241,Kolhapur,Red ,145,55,60,7.0,1000,35,"Cotton, Magnesium Sulphate"
119,243,Kolhapur,Red ,100,60,65,7.5,800,25,"Cotton, Magnesium Sulphate"
120,244,Kolhapur,Red ,105,60,65,7.5,800,25,"Cotton, Magnesium Sulphate"
121,245,Kolhapur,Red ,110,60,65,7.5,800,25,"Cotton, Magnesium Sulphate"
122,246,Kolhapur,Red ,115,60,65,7.5,800,25,"Cotton, Magnesium Sulphate"
123,248,Kolhapur,Red ,125,60,65,7.5,800,25,"Cotton, Magnesium Sulphate"
124,249,Kolhapur,Red ,130,60,65,7.5,800,25,"Cotton, Magnesium Sulphate"
125,253,Kolhapur,Red ,150,60,65,7.5,800,25,"Cotton, Magnesium Sulphate"
126,255,Kolhapur,Red ,105,40,70,6.0,900,30,"Cotton, Magnesium Sulphate"
127,256,Kolhapur,Red ,110,40,70,6.0,900,30,"Cotton, Magnesium Sulphate"
128,258,Kolhapur,Red ,120,40,70,6.0,900,30,"Cotton, Magnesium Sulphate"
129,260,Kolhapur,Red ,130,40,70,6.0,900,30,"Cotton, Magnesium Sulphate"
130,261,Kolhapur,Red ,135,40,70,6.0,900,30,"Cotton, Magnesium Sulphate"
131,263,Kolhapur,Red ,145,40,70,6.0,900,30,"Cotton, Magnesium Sulphate"
132,265,Kolhapur,Red ,100,45,75,6.5,1000,35,"Cotton, Magnesium Sulphate"
133,268,Kolhapur,Red ,115,45,75,6.5,1000,35,"Cotton, Magnesium Sulphate"
134,270,Kolhapur,Red ,125,45,75,6.5,1000,35,"Cotton, Magnesium Sulphate"
135,272,Kolhapur,Red ,135,45,75,6.5,1000,35,"Cotton, Magnesium Sulphate"
136,275,Kolhapur,Red ,150,45,75,6.5,1000,35,"Cotton, Magnesium Sulphate"
137,276,Kolhapur,Red ,100,50,50,7.0,800,25,"Cotton, 13:32:26 NPK"
138,280,Kolhapur,Red ,120,50,50,7.0,800,25,"Cotton, 13:32:26 NPK"
139,282,Kolhapur,Red ,130,50,50,7.0,800,25,"Cotton, 13:32:26 NPK"
140,283,Kolhapur,Red ,135,50,50,7.0,800,25,"Cotton, 13:32:26 NPK"
141,284,Kolhapur,Red ,140,50,50,7.0,800,25,"Cotton, 13:32:26 NPK"
142,288,Kolhapur,Red ,105,55,55,7.5,900,30,"Cotton, 13:32:26 NPK"
143,289,Kolhapur,Red ,110,55,55,7.5,900,30,"Cotton, 13:32:26 NPK"
144,293,Kolhapur,Red ,130,55,55,7.5,900,30,"Cotton, 13:32:26 NPK"
145,294,Kolhapur,Red ,135,55,55,7.5,900,30,"Cotton, 13:32:26 NPK"
146,296,Kolhapur,Red ,145,55,55,7.5,900,30,"Cotton, 13:32:26 NPK"
147,299,Kolhapur,Red ,105,60,60,6.0,1000,35,"Cotton, 13:32:26 NPK"
148,301,Kolhapur,Red ,115,60,60,6.0,1000,35,"Cotton, 13:32:26 NPK"
149,302,Kolhapur,Red ,120,60,60,6.0,1000,35,"Cotton, 13:32:26 NPK"
150,303,Kolhapur,Red ,125,60,60,6.0,1000,35,"Cotton, 13:32:26 NPK"
151,304,Kolhapur,Red ,130,60,60,6.0,1000,35,"Cotton, 13:32:26 NPK"
152,307,Kolhapur,Red ,145,60,60,6.0,1000,35,"Cotton, 13:32:26 NPK"
153,311,Kolhapur,Red ,110,40,65,6.5,800,25,"Cotton, 13:32:26 NPK"
154,313,Kolhapur,Red ,120,40,65,6.5,800,25,"Cotton, 13:32:26 NPK"
155,314,Kolhapur,Red ,125,40,65,6.5,800,25,"Cotton, 13:32:26 NPK"
156,315,Kolhapur,Red ,130,40,65,6.5,800,25,"Cotton, 13:32:26 NPK"
157,316,Kolhapur,Red ,135,40,65,6.5,800,25,"Cotton, 13:32:26 NPK"
158,319,Kolhapur,Red ,150,40,65,6.5,800,25,"Cotton, 13:32:26 NPK"
159,321,Kolhapur,Red ,105,45,70,7.0,900,30,"Cotton, 13:32:26 NPK"
160,322,Kolhapur,Red ,110,45,70,7.0,900,30,"Cotton, 13:32:26 NPK"
161,324,Kolhapur,Red ,120,45,70,7.0,900,30,"Cotton, 13:32:26 NPK"
162,325,Kolhapur,Red ,125,45,70,7.0,900,30,"Cotton, 13:32:26 NPK"
163,327,Kolhapur,Red ,135,45,70,7.0,900,30,"Cotton, 13:32:26 NPK"
164,328,Kolhapur,Red ,140,45,70,7.0,900,30,"Cotton, 13:32:26 NPK"
165,329,Kolhapur,Red ,145,45,70,7.0,900,30,"Cotton, 13:32:26 NPK"
166,331,Kolhapur,Red ,100,50,75,7.5,1000,35,"Cotton, 13:32:26 NPK"
167,332,Kolhapur,Red ,105,50,75,7.5,1000,35,"Cotton, 13:32:26 NPK"
168,333,Kolhapur,Red ,110,50,75,7.5,1000,35,"Cotton, 13:32:26 NPK"
169,334,Kolhapur,Red ,115,50,75,7.5,1000,35,"Cotton, 13:32:26 NPK"
170,338,Kolhapur,Red ,135,50,75,7.5,1000,35,"Cotton, 13:32:26 NPK"
171,341,Kolhapur,Red ,150,50,75,7.5,1000,35,"Cotton, 13:32:26 NPK"
172,342,Kolhapur,Red ,100,55,50,6.0,800,25,"Cotton, DAP"
173,344,Kolhapur,Red ,110,55,50,6.0,800,25,"Cotton, DAP"
174,345,Kolhapur,Red ,115,55,50,6.0,800,25,"Cotton, DAP"
175,346,Kolhapur,Red ,120,55,50,6.0,800,25,"Cotton, DAP"
176,347,Kolhapur,Red ,125,55,50,6.0,800,25,"Cotton, DAP"
177,349,Kolhapur,Red ,135,55,50,6.0,800,25,"Cotton, DAP"
178,353,Kolhapur,Red ,100,60,55,6.5,900,30,"Cotton, DAP"
179,354,Kolhapur,Red ,105,60,55,6.5,900,30,"Cotton, DAP"
180,355,Kolhapur,Red ,110,60,55,6.5,900,30,"Cotton, DAP"
181,356,Kolhapur,Red ,115,60,55,6.5,900,30,"Cotton, DAP"
182,358,Kolhapur,Red ,125,60,55,6.5,900,30,"Cotton, DAP"
183,359,Kolhapur,Red ,130,60,55,6.5,900,30,"Cotton, DAP"
184,360,Kolhapur,Red ,135,60,55,6.5,900,30,"Cotton, DAP"
185,361,Kolhapur,Red ,140,60,55,6.5,900,30,"Cotton, DAP"
186,363,Kolhapur,Red ,150,60,55,6.5,900,30,"Cotton, DAP"
187,368,Kolhapur,Red ,120,40,60,7.0,1000,35,"Cotton, DAP"
188,369,Kolhapur,Red ,125,40,60,7.0,1000,35,"Cotton, DAP"
189,371,Kolhapur,Red ,135,40,60,7.0,1000,35,"Cotton, DAP"
190,372,Kolhapur,Red ,140,40,60,7.0,1000,35,"Cotton, DAP"
191,374,Kolhapur,Red ,150,40,60,7.0,1000,35,"Cotton, DAP"
192,376,Kolhapur,Red ,105,45,65,7.5,800,25,"Cotton, DAP"
193,381,Kolhapur,Red ,130,45,65,7.5,800,25,"Cotton, DAP"
194,385,Kolhapur,Red ,150,45,65,7.5,800,25,"Cotton, DAP"
195,387,Kolhapur,Red ,105,50,70,6.0,900,30,"Cotton, DAP"
196,388,Kolhapur,Red ,110,50,70,6.0,900,30,"Cotton, DAP"
197,389,Kolhapur,Red ,115,50,70,6.0,900,30,"Cotton, DAP"
198,390,Kolhapur,Red ,120,50,70,6.0,900,30,"Cotton, DAP"
199,391,Kolhapur,Red ,125,50,70,6.0,900,30,"Cotton, DAP"
200,394,Kolhapur,Red ,140,50,70,6.0,900,30,"Cotton, DAP"
201,395,Kolhapur,Red ,145,50,70,6.0,900,30,"Cotton, DAP"
202,401,Kolhapur,Red ,120,55,75,6.5,1000,35,"Cotton, DAP"
203,402,Kolhapur,Red ,125,55,75,6.5,1000,35,"Cotton, DAP"
204,403,Kolhapur,Red ,130,55,75,6.5,1000,35,"Cotton, DAP"
205,408,Kolhapur,Red ,100,60,50,7.0,800,25,"Cotton, Magnesium Sulphate"
206,411,Kolhapur,Red ,115,60,50,7.0,800,25,"Cotton, Magnesium Sulphate"
207,412,Kolhapur,Red ,120,60,50,7.0,800,25,"Cotton, Magnesium Sulphate"
208,415,Kolhapur,Red ,135,60,50,7.0,800,25,"Cotton, Magnesium Sulphate"
209,426,Kolhapur,Red ,135,40,55,7.5,900,30,"Cotton, Magnesium Sulphate"
210,427,Kolhapur,Red ,140,40,55,7.5,900,30,"Cotton, Magnesium Sulphate"
211,430,Kolhapur,Red ,100,45,60,6.0,1000,35,"Cotton, Magnesium Sulphate"
212,432,Kolhapur,Red ,110,45,60,6.0,1000,35,"Cotton, Magnesium Sulphate"
213,433,Kolhapur,Red ,115,45,60,6.0,1000,35,"Cotton, Magnesium Sulphate"
214,437,Kolhapur,Red ,135,45,60,6.0,1000,35,"Cotton, Magnesium Sulphate"
215,442,Kolhapur,Red ,105,50,65,6.5,800,25,"Cotton, Magnesium Sulphate"
216,443,Kolhapur,Red ,110,50,65,6.5,800,25,"Cotton, Magnesium Sulphate"
217,449,Kolhapur,Red ,140,50,65,6.5,800,25,"Cotton, Magnesium Sulphate"
218,450,Kolhapur,Red ,145,50,65,6.5,800,25,"Cotton, Magnesium Sulphate"
219,451,Kolhapur,Red ,150,50,65,6.5,800,25,"Cotton, Magnesium Sulphate"
220,452,Kolhapur,Red ,100,55,70,7.0,900,30,"Cotton, Magnesium Sulphate"
221,454,Kolhapur,Red ,110,55,70,7.0,900,30,"Cotton, Magnesium Sulphate"
222,456,Kolhapur,Red ,120,55,70,7.0,900,30,"Cotton, Magnesium Sulphate"
223,457,Kolhapur,Red ,125,55,70,7.0,900,30,"Cotton, Magnesium Sulphate"
224,458,Kolhapur,Red ,130,55,70,7.0,900,30,"Cotton, Magnesium Sulphate"
225,459,Kolhapur,Red ,135,55,70,7.0,900,30,"Cotton, Magnesium Sulphate"
226,460,Kolhapur,Red ,140,55,70,7.0,900,30,"Cotton, Magnesium Sulphate"
227,461,Kolhapur,Red ,145,55,70,7.0,900,30,"Cotton, Magnesium Sulphate"
228,464,Kolhapur,Red ,105,60,75,7.5,1000,35,"Cotton, Magnesium Sulphate"
229,468,Kolhapur,Red ,125,60,75,7.5,1000,35,"Cotton, Magnesium Sulphate"
230,469,Kolhapur,Red ,130,60,75,7.5,1000,35,"Cotton, Magnesium Sulphate"
231,471,Kolhapur,Red ,140,60,75,7.5,1000,35,"Cotton, Magnesium Sulphate"
232,472,Kolhapur,Red ,145,60,75,7.5,1000,35,"Cotton, Magnesium Sulphate"
233,473,Kolhapur,Red ,150,60,75,7.5,1000,35,"Cotton, Magnesium Sulphate"
234,474,Kolhapur,Red ,100,60,40,6.0,800,25,"Cotton, 12:32:16 NPK"
235,476,Kolhapur,Red ,110,60,40,6.0,800,25,"Cotton, 12:32:16 NPK"
236,477,Kolhapur,Red ,115,60,40,6.0,800,25,"Cotton, 12:32:16 NPK"
237,479,Kolhapur,Red ,100,65,45,6.5,900,30,"Cotton, 12:32:16 NPK"
238,480,Kolhapur,Red ,105,65,45,6.5,900,30,"Cotton, 12:32:16 NPK"
239,482,Kolhapur,Red ,115,65,45,6.5,900,30,"Cotton, 12:32:16 NPK"
240,483,Kolhapur,Red ,120,65,45,6.5,900,30,"Cotton, 12:32:16 NPK"
241,485,Kolhapur,Red ,105,70,50,7.0,1000,35,"Cotton, 12:32:16 NPK"
242,487,Kolhapur,Red ,115,70,50,7.0,1000,35,"Cotton, 12:32:16 NPK"
243,491,Kolhapur,Red ,110,75,55,7.5,800,25,"Cotton, 12:32:16 NPK"
244,493,Kolhapur,Red ,120,75,55,7.5,800,25,"Cotton, 12:32:16 NPK"
245,495,Kolhapur,Red ,105,80,60,6.0,900,30,"Cotton, 12:32:16 NPK"
246,496,Kolhapur,Red ,110,80,60,6.0,900,30,"Cotton, 12:32:16 NPK"
247,500,Kolhapur,Red ,105,60,65,6.5,1000,35,"Cotton, 12:32:16 NPK"
248,501,Kolhapur,Red ,110,60,65,6.5,1000,35,"Cotton, 12:32:16 NPK"
249,505,Kolhapur,Red ,105,65,40,7.0,800,25,"Cotton, 12:32:16 NPK"
250,507,Kolhapur,Red ,115,65,40,7.0,800,25,"Cotton, 12:32:16 NPK"
251,509,Kolhapur,Red ,100,70,45,7.5,900,30,"Cotton, 12:32:16 NPK"
252,510,Kolhapur,Red ,105,70,45,7.5,900,30,"Cotton, 12:32:16 NPK"
253,514,Kolhapur,Red ,100,75,50,6.0,1000,35,"Cotton, 12:32:16 NPK"
254,515,Kolhapur,Red ,105,75,50,6.0,1000,35,"Cotton, 12:32:16 NPK"
255,516,Kolhapur,Red ,110,75,50,6.0,1000,35,"Cotton, 12:32:16 NPK"
256,517,Kolhapur,Red ,115,75,50,6.0,1000,35,"Cotton, 12:32:16 NPK"
257,519,Kolhapur,Red ,100,80,55,6.5,800,25,"Cotton, 12:32:16 NPK"
258,522,Kolhapur,Red ,115,80,55,6.5,800,25,"Cotton, 12:32:16 NPK"
259,523,Kolhapur,Red ,120,80,55,6.5,800,25,"Cotton, 12:32:16 NPK"
260,525,Kolhapur,Red ,105,60,60,7.0,900,30,"Cotton, 12:32:16 NPK"
261,526,Kolhapur,Red ,110,60,60,7.0,900,30,"Cotton, 12:32:16 NPK"
262,527,Kolhapur,Red ,115,60,60,7.0,900,30,"Cotton, 12:32:16 NPK"
263,531,Kolhapur,Red ,110,65,65,7.5,1000,35,"Cotton, 12:32:16 NPK"
264,532,Kolhapur,Red ,115,65,65,7.5,1000,35,"Cotton, 12:32:16 NPK"
265,536,Kolhapur,Red ,110,70,40,6.0,800,25,"Cotton, 12:32:16 NPK"
266,541,Kolhapur,Red ,110,75,45,6.5,900,30,"Cotton, DAP"
267,542,Kolhapur,Red ,115,75,45,6.5,900,30,"Cotton, DAP"
268,544,Kolhapur,Red ,100,80,50,7.0,1000,35,"Cotton, DAP"
269,545,Kolhapur,Red ,105,80,50,7.0,1000,35,"Cotton, DAP"
270,546,Kolhapur,Red ,110,80,50,7.0,1000,35,"Cotton, DAP"
271,548,Kolhapur,Red ,120,80,50,7.0,1000,35,"Cotton, DAP"
272,549,Kolhapur,Red ,100,60,55,7.5,800,25,"Cotton, DAP"
273,550,Kolhapur,Red ,105,60,55,7.5,800,25,"Cotton, DAP"
274,553,Kolhapur,Red ,120,60,55,7.5,800,25,"Cotton, DAP"
275,556,Kolhapur,Red ,110,65,60,6.0,900,30,"Cotton, DAP"
276,557,Kolhapur,Red ,115,65,60,6.0,900,30,"Cotton, DAP"
277,562,Kolhapur,Red ,115,70,65,6.5,1000,35,"Cotton, DAP"
278,563,Kolhapur,Red ,120,70,65,6.5,1000,35,"Cotton, DAP"
279,566,Kolhapur,Red ,110,75,40,7.0,800,25,"Cotton, DAP"
280,567,Kolhapur,Red ,115,75,40,7.0,800,25,"Cotton, DAP"
281,568,Kolhapur,Red ,120,75,40,7.0,800,25,"Cotton, DAP"
282,569,Kolhapur,Red ,100,80,45,7.5,900,30,"Cotton, DAP"
283,573,Kolhapur,Red ,120,80,45,7.5,900,30,"Cotton, DAP"
284,575,Kolhapur,Red ,105,60,50,6.0,1000,35,"Cotton, DAP"
285,576,Kolhapur,Red ,110,60,50,6.0,1000,35,"Cotton, DAP"
286,577,Kolhapur,Red ,115,60,50,6.0,1000,35,"Cotton, DAP"
287,580,Kolhapur,Red ,105,65,55,6.5,800,25,"Cotton, DAP"
288,581,Kolhapur,Red ,110,65,55,6.5,800,25,"Cotton, DAP"
289,585,Kolhapur,Red ,105,70,60,7.0,900,30,"Cotton, DAP"
290,586,Kolhapur,Red ,110,70,60,7.0,900,30,"Cotton, DAP"
291,587,Kolhapur,Red ,115,70,60,7.0,900,30,"Cotton, DAP"
292,595,Kolhapur,Red ,105,80,40,6.0,800,25,"Cotton, DAP"
293,599,Kolhapur,Red ,100,60,45,6.5,900,30,"Cotton, DAP"
294,601,Kolhapur,Red ,110,60,45,6.5,900,30,"Cotton, DAP"
295,605,Kolhapur,Red ,105,65,50,7.0,1000,35,"Cotton, DAP"
296,606,Kolhapur,Red ,110,65,50,7.0,1000,35,"Cotton, Magnesium Sulphate"
297,608,Kolhapur,Red ,120,65,50,7.0,1000,35,"Cotton, Magnesium Sulphate"
298,614,Kolhapur,Red ,100,75,60,6.0,900,30,"Cotton, Magnesium Sulphate"
299,616,Kolhapur,Red ,110,75,60,6.0,900,30,"Cotton, Magnesium Sulphate"
300,617,Kolhapur,Red ,115,75,60,6.0,900,30,"Cotton, Magnesium Sulphate"
301,623,Kolhapur,Red ,120,80,65,6.5,1000,35,"Cotton, Magnesium Sulphate"
302,625,Kolhapur,Medium Brown,25,15,20,5.5,700,25,"Rice, Urea"
303,626,Kolhapur,Medium Brown,30,15,20,5.5,700,25,"Rice, Urea"
304,628,Kolhapur,Medium Brown,25,20,25,6.0,800,30,"Rice, Urea"
305,629,Kolhapur,Medium Brown,30,20,25,6.0,800,30,"Rice, Urea"
306,633,Kolhapur,Medium Brown,20,20,20,5.5,1000,30,"Rice, Urea"
307,634,Kolhapur,Medium Brown,25,20,20,5.5,1000,30,"Rice, Urea"
308,635,Kolhapur,Medium Brown,30,20,20,5.5,1000,30,"Rice, Urea"
309,636,Kolhapur,Medium Brown,25,20,30,6.0,700,25,"Rice, Urea"
310,638,Kolhapur,Medium Brown,35,20,30,6.0,700,25,"Rice, Urea"
311,639,Kolhapur,Medium Brown,25,25,35,6.5,800,30,"Rice, Urea"
312,642,Kolhapur,Medium Brown,25,30,40,5.5,900,25,"Rice, Urea"
313,643,Kolhapur,Medium Brown,30,30,40,5.5,900,25,"Rice, Urea"
314,644,Kolhapur,Medium Brown,35,30,40,5.5,900,25,"Rice, 50:26:26 NPK"
315,645,Kolhapur,Medium Brown,25,20,35,6.0,1000,30,"Rice, 50:26:26 NPK"
